	X222	X223	X224	X225	X226	X228	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250
bOTU_2	45100.62206	176.6062175	600.7646215	406.0671235	834.1227046	242.082728	3574.279961	0	98.02913233	501.6356142	0	0	98.3590902	98.15272014	137.203672	475.8520941	92.56765634	0	97.03645149	0	3810.99384	86.78881769	0	86.70428897	150.3687266	3501.752665	0
bOTU_395	293.4964559	264.9093263	0	324.8536988	556.0818031	605.2068201	382.9585672	742.2247139	784.2330586	836.059357	741.2819461	428.2337978	0	98.15272014	0	0	0	97.15336437	97.03645149	95.65599344	97.71779078	173.5776354	0	0	0	152.2501159	152.2422526
bOTU_68	97.83215198	794.7279789	514.9411041	568.4939729	4726.695326	15735.37732	2297.751403	4824.46064	4117.223558	2173.754328	3558.153342	1427.445993	4721.23633	2551.970724	3978.906489	4187.498428	6572.3036	3691.827846	4754.786123	2391.399836	1954.355816	5207.329061	531.6183641	260.1128669	1052.581086	2131.501622	1141.816895
bOTU_2087	97.83215198	706.4248702	343.2940694	568.4939729	0	363.124092	255.3057115	247.408238	196.0582647	167.2118714	148.2563892	142.7445993	393.4363608	2944.581604	686.0183602	571.0225129	1203.379532	874.3802794	776.291612	669.5919541	293.1533723	1301.832265	106.3236728	867.0428897	225.5530898	0	380.6056315
bOTU_4	293.4964559	88.30310877	171.6470347	0	0	0	382.9585672	0	0	0	0	0	295.0772706	687.069041	2195.258753	571.0225129	647.9735944	1845.913923	2814.057093	1626.151889	3029.251514	2256.50926	9143.835862	20202.09933	4135.13998	2892.752201	7612.11263
bOTU_29	195.664304	5474.792744	36904.11246	974.5610964	13763.02463	10046.43321	6382.642787	22514.14965	14998.45725	11537.61913	8747.126965	2283.913588	18393.14987	16097.0461	26617.51237	21794.02591	23234.48174	8452.3427	10382.90031	8800.351397	8208.294425	14840.88783	1382.207747	867.0428897	3909.586891	3958.503012	2664.239421
bOTU_619	195.664304	8742.007768	85.82351736	81.2134247	973.1431554	363.124092	1021.222846	865.9288328	2646.786573	1504.906843	1334.307503	142.7445993	295.0772706	98.15272014	823.2220322	1142.045026	925.6765634	97.15336437	388.145806	191.3119869	0	0	0	0	0	0	76.1211263
bOTU_186	195.664304	441.5155439	257.4705521	568.4939729	0	242.082728	638.2642787	0	490.1456617	334.4237428	0	285.4891985	196.7181804	98.15272014	1920.851408	666.1929317	462.8382817	777.226915	873.3280634	860.903941	2149.791397	607.5217238	0	86.70428897	0	152.2501159	76.1211263
bOTU_11	0	529.8186526	85.82351736	893.3476717	5560.818031	3268.116828	1914.792836	6556.318306	10881.23369	5350.779885	7264.563072	2141.168989	2852.413616	105121.5633	137.203672	5710.225129	7683.115476	3497.521117	1261.473869	956.5599344	684.0245354	1822.565172	3189.710185	260.1128669	827.0279961	2740.502085	608.9690104
bOTU_9	10957.20102	79649.40411	36131.70081	83000.12004	2502.368114	1573.537732	1404.181413	4205.940045	5489.63141	2340.9662	3706.409731	2712.147386	196.7181804	490.7636007	13034.34884	190.3408376	925.6765634	0	0	0	488.5889539	0	106.3236728	86.70428897	225.5530898	3806.252896	152.2422526
